RUN,MoveNo,SpriteName,MovedToPile,ReactionTime
Final Run,50,cards_7,1,0.116148
Final Run,51,cards_16,4,0.1658621
Final Run,1,cards_25,1,0
Final Run,2,cards_6,4,0.7734811
Final Run,3,cards_46,3,0.3469599
Final Run,4,cards_9,2,0.1990718
Final Run,5,cards_0,1,0.2653564
Final Run,6,cards_13,4,0.1720718
Final Run,7,cards_32,3,0.179243
Final Run,8,cards_2,1,0.2709398
Final Run,9,cards_37,3,0.3151481
Final Run,10,cards_21,1,0.2354405
Final Run,11,cards_41,3,0.2083485
Final Run,12,cards_7,1,0.1775868
Final Run,13,cards_10,2,0.1444089
Final Run,14,cards_40,1,0.1000409
Final Run,15,cards_31,4,0.09857225
Final Run,16,cards_14,3,0.223182
Final Run,17,cards_49,1,0.2398179
Final Run,18,cards_17,3,0.2130122
Final Run,19,cards_39,1,0.1946583
Final Run,20,cards_35,1,0.1986961
Final Run,21,cards_48,3,0.3540688
Final Run,22,cards_24,2,0.01656342
Final Run,23,cards_29,1,0.08188629
Final Run,24,cards_43,4,0.1732907
Final Run,25,cards_20,3,0.0778532
Final Run,26,cards_33,1,0.2467537
Final Run,27,cards_5,3,0.3580408
Final Run,28,cards_3,1,0.2152719
Final Run,1,cards_30,1,0
Final Run,2,cards_5,4,0.5817751
Final Run,3,cards_0,2,0.3574808
Final Run,4,cards_3,3,0.2884648
Final Run,5,cards_6,1,0.3405294
Final Run,6,cards_22,4,0.2930405
Final Run,7,cards_11,3,0.287631
Final Run,8,cards_2,2,0.2653422
Final Run,9,cards_13,1,0.351609
Final Run,10,cards_7,4,0.2731109
Final Run,11,cards_14,3,0.2942553
Final Run,12,cards_50,2,0.2522178
Final Run,13,cards_48,1,0.2650666
Final Run,14,cards_19,4,0.251256
Final Run,15,cards_29,3,0.2969003
Final Run,16,cards_4,4,0.2383604
Final Run,17,cards_42,3,0.2312212
Final Run,18,cards_28,1,0.1326537
Final Run,19,cards_25,4,0.2818613
Final Run,20,cards_40,2,0.1415658
Final Run,21,cards_12,3,0.2319422
Final Run,22,cards_45,4,0.2319231
Final Run,23,cards_34,1,0.2650666
Final Run,24,cards_36,4,0.03313351
Final Run,25,cards_27,2,0.2153664
Final Run,26,cards_49,3,0.1402855
Final Run,27,cards_26,1,0.09985828
Final Run,28,cards_24,4,0.2811794
Final Run,29,cards_8,2,0.1822271
Final Run,30,cards_21,3,0.1958189
Final Run,31,cards_46,4,0.13274
Final Run,32,cards_15,1,0.1133299
Final Run,33,cards_18,4,0.1488438
Final Run,34,cards_32,2,0.1658716
Final Run,35,cards_38,3,0.08314514
Final Run,36,cards_41,4,0.1688766
Final Run,37,cards_35,1,0.1936178
Final Run,38,cards_37,4,0.09975624
Final Run,39,cards_9,2,0.1323118
Final Run,40,cards_16,3,0.1655312
Final Run,41,cards_31,4,0.01696682
Final Run,42,cards_10,1,0.1321325
Final Run,43,cards_30,4,0.1325359
Final Run,44,cards_20,2,0.09977531
Final Run,45,cards_33,3,0.1818581
Final Run,46,cards_23,4,0.01728821
Final Run,47,cards_17,1,0.1649446
Final Run,48,cards_1,4,0.1659918
Final Run,49,cards_47,3,0.1068602
Final Run,50,cards_44,1,0.1656752
Final Run,51,cards_39,4,0.3338146
Final Run,52,cards_43,1,0.1164417
Control Run,1,cards_31,1,0
Control Run,2,cards_4,4,2.621469
Control Run,3,cards_0,2,0.3315873
Control Run,4,cards_28,3,0.2768173
Control Run,5,cards_50,4,0.233705
Control Run,6,cards_44,1,0.3386965
Control Run,7,cards_47,2,0.2650685
Control Run,8,cards_43,1,0.1045165
Control Run,9,cards_21,4,0.8993969
Control Run,10,cards_3,2,0.1156263
Control Run,11,cards_36,1,0.1325531
Control Run,12,cards_15,4,0.05955219
Control Run,13,cards_20,1,0.05824184
Control Run,14,cards_26,4,0.1325264
Control Run,15,cards_38,2,0.1491098
Control Run,16,cards_10,3,0.01657104
Control Run,17,cards_7,4,0.1730194
Control Run,18,cards_37,2,0.04961109
Control Run,19,cards_33,3,0.1199856
Control Run,20,cards_23,4,0.01491547
Control Run,21,cards_27,1,0.1239662
Control Run,22,cards_35,4,0.1347046
Control Run,23,cards_31,2,0.1261721
Control Run,24,cards_29,1,0.09075451
Control Run,25,cards_9,4,0.09984875
Control Run,26,cards_6,2,0.07376385
Control Run,27,cards_46,3,0.01742268
Control Run,28,cards_48,4,0.04905987
Control Run,29,cards_14,2,0.08262253
Control Run,30,cards_34,3,0.1498537
Control Run,31,cards_12,1,0.01648617
Control Run,32,cards_19,4,0.01588535
Control Run,33,cards_24,2,0.05023766
Control Run,34,cards_8,1,0.1154308
Control Run,35,cards_49,4,0.08283329
Control Run,36,cards_32,2,0.01656532
Control Run,37,cards_1,4,0.08336163
Control Run,38,cards_45,1,0.1657009
Control Run,39,cards_2,2,0.1613274
Control Run,40,cards_42,4,0.02625942
Control Run,41,cards_13,2,0.09940147
Control Run,42,cards_30,3,0.06657124
Control Run,43,cards_40,4,0.08252811
Control Run,44,cards_18,2,0.166461
Control Run,45,cards_11,1,0.08245373
Control Run,46,cards_16,3,0.1327028
Control Run,47,cards_5,4,0.01703358
Control Run,48,cards_41,2,0.04872417
Control Run,49,cards_39,4,0.1003389
Control Run,50,cards_25,1,0.114953
Control Run,51,cards_22,4,0.1325331
Final Run,1,cards_9,1,0
Final Run,2,cards_24,4,0.1822319
Final Run,3,cards_41,2,0.1491127
Final Run,4,cards_38,4,0.1159744
Final Run,5,cards_22,2,0.1246433
Final Run,6,cards_6,3,0.08177376
Final Run,7,cards_11,4,0.06824112
Final Run,8,cards_25,2,0.1192379
Final Run,9,cards_13,4,0.1159668
Final Run,10,cards_40,1,0.03376389
Final Run,11,cards_15,4,0.08318901
Final Run,12,cards_33,2,0.1654453
Final Run,13,cards_31,4,0.03237724
Final Run,14,cards_0,3,0.1326199
Final Run,15,cards_49,4,0.01723289
Final Run,16,cards_47,2,0.2072849
Final Run,17,cards_34,1,0.05641174
Final Run,18,cards_44,4,0.0661602
Final Run,19,cards_50,2,0.08265877
Final Run,20,cards_35,1,0.09963989
Final Run,21,cards_19,4,0.03664589
Final Run,22,cards_26,2,0.1010456
Final Run,23,cards_9,3,0.06576729
Final Run,24,cards_43,4,0.08283424
Final Run,25,cards_39,1,0.06626701
Final Run,26,cards_2,2,0.1168404
Final Run,27,cards_10,3,0.04920387
Final Run,28,cards_1,2,0.2482891
Final Run,29,cards_8,4,0
Final Run,30,cards_7,1,0.08493423
Final Run,31,cards_42,4,0.1159706
Final Run,32,cards_21,3,0.1300602
Final Run,33,cards_20,4,0.1377029
Final Run,34,cards_36,2,0.08351135
Final Run,35,cards_30,4,0.1594505
Final Run,36,cards_12,1,0.1491089
Final Run,37,cards_17,4,0.1661301
Final Run,38,cards_37,2,0.1322155
Final Run,39,cards_32,3,0.08522034
Final Run,40,cards_23,1,0.09940147
Final Run,41,cards_48,4,0.04970932
Final Run,42,cards_18,4,0.01694489
Final Run,43,cards_4,2,0.2058964
Final Run,44,cards_28,3,0.09939957
Final Run,45,cards_3,4,0.09939957
Final Run,46,cards_14,2,0.1159668
Final Run,47,cards_45,1,0.1161652
Final Run,48,cards_5,4,0.01636696
Final Run,49,cards_27,2,0.1490993
Final Run,50,cards_16,3,0.06677628
Final Run,51,cards_29,1,0.1154594
Final Run,52,cards_46,1,0.01775169
Final Run,53,cards_46,1,0
Final Run,1,cards_13,1,0
Final Run,2,cards_14,4,1.061996
Final Run,3,cards_23,3,0.1330972
Final Run,4,cards_21,2,0.2589099
Final Run,5,cards_27,1,0.1414676
Control Run,1,cards_25,1,0
Control Run,2,cards_25,4,1.315928
Control Run,3,cards_30,2,0.4872909
Control Run,4,cards_42,3,0.3521199
Control Run,5,cards_14,1,0.08283329
Control Run,6,cards_31,4,0.367208
Control Run,7,cards_13,1,0.09940004
Control Run,8,cards_7,2,0.2324226
Control Run,9,cards_27,3,0.05766225
Control Run,10,cards_23,4,0.2853673
Control Run,11,cards_38,1,0.2649732
Control Run,12,cards_46,2,0.2178221
Control Run,13,cards_1,3,0.2687511
Control Run,14,cards_11,4,0.2932839
Control Run,15,cards_9,1,0.272121
Control Run,16,cards_10,2,0.2389526
Control Run,17,cards_2,3,0.1356292
Control Run,18,cards_32,4,0.2485585
Control Run,19,cards_44,1,0.3103695
Control Run,20,cards_28,2,0.1987343
Control Run,21,cards_12,3,0.2154794
Control Run,22,cards_8,4,0.269783
Control Run,1,cards_21,1,0
Control Run,2,cards_7,4,1.278393
Control Run,3,cards_21,2,0.2728884
Control Run,4,cards_43,3,0.2712779
Control Run,5,cards_2,1,0.2314861
Control Run,6,cards_27,4,0.3644688
Control Run,7,cards_11,1,0.1170931
Control Run,8,cards_15,4,0.2106452
Control Run,9,cards_49,2,0.1678722
Control Run,10,cards_25,1,0.09940004
Control Run,11,cards_6,4,0.09939957
Control Run,12,cards_34,3,0.1582832
Control Run,13,cards_46,4,0.3877292
Control Run,14,cards_13,1,0.2086768
Control Run,15,cards_50,4,0.132339
Control Run,16,cards_23,2,0.270473
Control Run,17,cards_12,3,0.01722193
Control Run,18,cards_16,4,0.165256
Control Run,19,cards_5,1,0.1920877
Control Run,20,cards_1,4,0.1868625
Control Run,21,cards_44,1,0.2691536
Control Run,22,cards_10,2,0.1656685
Control Run,23,cards_19,4,0.3206067
Control Run,24,cards_36,1,0.1324792
